time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/policy_gradient_loss,train/loss,train/value_loss,train/explained_variance
1185,2048,1,200.0,1,-1359.6499781,,,,,,,,,,,
953,4096,4,200.0,2,-1323.8851207,-1.705979695916176,0.1,1.5383347272872925,0.930322265625,79.62233,0.2,10,0.23985267252428458,319.40789794921875,1123.444655609131,-0.004261970520019531
898,6144,6,200.0,3,-1408.9218220333337,-2.2431654296815395,0.1,3.798316717147827,0.828564453125,32.992516,0.2,20,0.20684456757735462,302.7198791503906,881.3856855392456,0.6993246972560883
877,8192,9,200.0,4,-1462.8230091,-2.8194533839821814,0.1,4.909482955932617,0.37685546875,0.8304394,0.2,30,0.061413154032197784,366.626220703125,1176.4614139556884,0.27548927068710327
865,10240,11,200.0,5,-1496.5756794117647,-3.0838613227009772,0.1,4.477463245391846,0.34111328125,0.24898762,0.2,40,0.03268458671955159,251.6326141357422,889.3991796493531,0.27730458974838257
849,12288,14,200.0,6,-1472.795248098361,-3.0234909787774087,0.1,18.016036987304688,0.45947265625,1.6848176,0.2,50,0.07180918142257724,197.4401092529297,708.7591247558594,0.07693988084793091
831,14336,17,200.0,7,-1455.0733217887325,-4.340022081136704,0.1,17.341520309448242,0.1849609375,0.20380351,0.2,60,-0.012554118505795487,186.69174194335938,422.1050266265869,0.27886486053466797
824,16384,19,200.0,8,-1433.293980308642,-4.288865274190902,0.1,17.63266372680664,0.146240234375,0.023580942,0.2,70,-0.007601869344944135,153.82667541503906,350.8374671936035,0.542027622461319
823,18432,22,200.0,9,-1400.4878133152174,-4.3076884806156155,0.1,19.411165237426758,0.116796875,0.010400855,0.2,80,-0.00413191776315216,131.8782958984375,297.30169010162354,0.5573057234287262
821,20480,24,200.0,10,-1378.8659985499999,-4.3766582071781155,0.1,20.09872055053711,0.134130859375,0.022146806,0.2,90,-0.006407823332119733,145.62718200683594,335.6222374916077,0.5925508141517639
821,22528,27,200.0,11,-1354.39123625,-4.4346579790115355,0.1,19.922754287719727,0.097314453125,0.011815073,0.2,100,-0.0007580763223813847,129.65725708007812,335.1414764404297,0.6891189813613892
817,24576,30,200.0,12,-1328.3646354700002,-4.4361899346113205,0.1,19.602886199951172,0.134375,0.02424734,0.2,110,-0.0053369519941043105,192.2215576171875,401.8687505722046,0.7263882458209991
817,26624,32,200.0,13,-1270.33224617,-4.380059444904328,0.1,20.321121215820312,0.07177734375,0.011865173,0.2,120,-0.0002798655943479389,163.55882263183594,315.94504890441897,0.6155448257923126
802,28672,35,200.0,14,-1227.1294804,-4.435471993684769,0.1,20.41783332824707,0.0763671875,0.027080726,0.2,130,0.0024347964164917356,190.2311248779297,438.02965850830077,0.729485422372818
782,30720,39,200.0,15,-1185.98313219,-4.401640203595162,0.1,21.649166107177734,0.10029296875,0.017855365,0.2,140,-0.000730038162873825,159.3899688720703,312.7580958366394,0.7673796117305756
773,32768,42,200.0,16,-1160.7585802099998,-4.477767390012741,0.1,19.485071182250977,0.1484375,0.027627345,0.2,150,-0.005029053549515083,140.05615234375,323.4384311676025,0.7421360909938812
764,34816,45,200.0,17,-1133.12858012,-4.352955141663552,0.1,17.696857452392578,0.113818359375,0.012648929,0.2,160,-0.0003965652795159258,151.34288024902344,312.4351662635803,0.6783108413219452
745,36864,49,200.0,18,-1114.6836296099998,-4.2647741988301275,0.1,18.192276000976562,0.1556640625,0.02268076,0.2,170,0.005425443543936126,135.82005310058594,226.3358681678772,0.731308102607727
728,38912,53,200.0,19,-1099.2453563200002,-4.356167846918106,0.1,18.89173126220703,0.167578125,0.029497946,0.2,180,-0.0005212342191953212,185.85739135742188,339.8781630516052,0.6369231939315796
723,40960,56,200.0,20,-1082.1248732499996,-4.2978675097227095,0.1,18.71233558654785,0.151123046875,0.025914922,0.2,190,-0.0039378033194225285,195.79318237304688,446.5656436920166,0.6914720237255096
726,43008,59,200.0,21,-1079.53616663,-4.345153030753136,0.1,17.894384384155273,0.1236328125,0.026946943,0.2,200,0.012927334260893986,229.359619140625,461.03482112884524,0.715516984462738
729,45056,61,200.0,22,-1077.7242228700002,-4.274849057197571,0.1,15.67596435546875,0.17978515625,0.03645715,0.2,210,0.018164252018323168,145.17471313476562,282.8463938713074,0.7422812879085541
731,47104,64,200.0,23,-1092.18252279,-4.171552619338035,0.1,16.87809944152832,0.114453125,0.026954718,0.2,220,0.0058211212410242295,133.23049926757812,273.3897204399109,0.7359011769294739
733,49152,67,200.0,24,-1079.45220675,-4.237463727593422,0.1,16.381608963012695,0.2263671875,0.08506036,0.2,230,0.003289639556896873,123.43020629882812,283.7637179374695,0.7608408033847809
735,51200,69,200.0,25,-1078.83662919,-4.222125262022018,0.1,15.81255054473877,0.146533203125,0.059537493,0.2,240,0.008929285760677886,202.5759735107422,414.69441947937014,0.7346650063991547
